1906255,4423  S BRANDON ST,47.553401,-122.278334,
1808473,1115  S ATLANTIC ST,47.589977,-122.317645,
1086271,719 2ND AVE,47.603445,-122.333587,
1630762,2014  E YESLER WAY,47.601691,-122.3057,
1749134,7401 RAINIER AVE S,47.535465,-122.26999,
1706424,5314 MARTIN LUTHER KING JR WAY S,47.553624,-122.289128,
1608547,3014  SW GENESEE ST,47.564706,-122.37188,
1779155,6188 4TH AVE S,47.545805,-122.329626,
1835608,748  S CLOVERDALE ST,47.526468,-122.323292,
1784380,903 9TH AVE,47.607867,-122.326836,
1133094,6601 RAINIER AVE S,47.54295,-122.273147,
1560159,5619 RAINIER AVE S,47.551409,-122.277806,
1092284,657  S WELLER ST,47.597529,-122.324683,
1500021,2348 ALKI AVE SW,47.582511,-122.402363,
1346307,3210  SW AVALON WAY,47.564217,-122.373106,
1425646,3230  SW AVALON WAY,47.564099,-122.373463,
1001776,4203  SW HILL ST,47.585355,-122.38521,
1527422,4800 FAUNTLEROY WAY SW,47.558826,-122.381462,
1883603,6901 DELRIDGE WAY SW,47.541364,-122.361002,
1530189,4831 35TH AVE SW,47.558332,-122.37626,https://washington.providence.org/locations-directory/m/mount-st-vincent/?y_source=1_OTU3Njg1MC00ODMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D#llaid=6491
1527768,3000 60TH AVE SW,47.577492,-122.409388,
1455254,2600 ALKI AVE SW,47.579781,-122.40861,
1032100,4502 42ND AVE SW,47.562723,-122.385457,www.oregon42.com//floor-plans.aspx
1850574,104 PINE ST,47.609964,-122.340586,https://www.1standpine.com/
1746809,2021  NW 58TH ST,47.670916,-122.382957,
1907400,3033 CALIFORNIA AVE SW,47.5761,-122.386732,https://www.seattlehousing.org/properties/island-view
1228670,3151 ALKI AVE SW,47.57633,-122.419077,
1569701,600  SW KENYON ST,47.531929,-122.343833,www.overlookatwestridgeapts.com/floorplans.aspx
1922903,3236  SW AVALON WAY,47.564058,-122.374089,
1049148,13543 GREENWOOD AVE N,47.727868,-122.355548,www.mosaicongreenwood.com/floorplans.aspx
1445958,7050 LINCOLN PARK WAY SW,47.539822,-122.395228,
1607350,2301 CALIFORNIA AVE SW,47.582757,-122.386463,
1339395,4539 42ND AVE SW,47.561555,-122.385454,
1052080,2801 WESTERN AVE,47.615969,-122.35287,
1951225,2414 1ST AVE,47.614236,-122.347997,
1271320,909 5TH AVE,47.6064,-122.331656,http://www.5thandmadisoncondos.com/
1757621,2425 HARBOR AVE SW,47.581701,-122.373036,http://harborsquareliving.com/
1343210,1201 1ST AVE,47.606713,-122.338097,
1367016,903  N 130TH ST,47.723239,-122.34785,
1589296,10329 MERIDIAN AVE N,47.704132,-122.333927,
1137482,1530  NW MARKET ST,47.668689,-122.378029,
1128445,1505  NW 60TH ST,47.672354,-122.376691,
1104766,1601 9TH AVE,47.61381,-122.332314,https://nineandpine.com/
1787308,420 BLANCHARD ST,47.615073,-122.342051,http://www.livewindham.com/
1001572,507  W MERCER ST,47.624539,-122.363988,
