address,neighborhood,building_name
4219 7th ave ne,University District Northwest,The Shannon Apartments
1911 aurora ave n,Outside Villages,ALOHA INN
467 newton st,Outside Villages,467 NEWTON ST CONDOMINIUM
2805 e cherry st,Outside Villages,APARTMENT
4803 s henderson st,Rainier Beach,HENDERSON ARMS
1221 queen anne ave n,Upper Queen Anne,1221 APARTMENTS
133 pontius ave n,South Lake Union,BREWSTER APTS
703 n 105th st,Outside Villages,12 UNIT APT BLDG
11239 greenwood ave n,Outside Villages,HIGHLAND VIEW VILLAS CONDOMINIUM
600 7th ave,First Hill,SEVENTH & JAMES
420 terry ave,First Hill,THE ENGLEWOOD APTS
5501 11th ave nw,Ballard,NW MARKET STREET CONDOMINIUM
308 22nd ave s,23rd & Union-Jackson,MAIN STREET PLACE CONDOMINIUM
2834 15th ave w,Outside Villages,ALEXANDRIA APTS
3201 w commodore way,Outside Villages,COMMODORE APTS (see also Minor 0515)
1120 spring st,First Hill,KELLEHER HOUSE CONDOMINIUM
520 2nd ave w,Uptown,UPTOWN CONDOMINIUM
938 n 100th st,Aurora-Licton Springs,THE JAMES APARTMENTS
1719 nw 57th st,Ballard,12-UNIT APARTMENT
5021 s barton pl,Rainier Beach,APTS WITH RETAL & OFFICE
6201 24th ave nw,Ballard,KELLY COURT
1220 e columbia st,12th Avenue,COKOFFI CONDOMINIUM
9050 greenwood ave n,Greenwood-Phinney Ridge,GREENWOOD AVE NORTH APTS
330 w olympic pl,Outside Villages,APOLLO CONDOMINIUM
901 12th ave,12th Avenue,SEATTLE UNIVERSITY
1215 e spring st,12th Avenue,TAFT APARTMENT
6501 24th ave nw,Outside Villages,SHIP STREET
420 n 39th st,Outside Villages,12 UNIT APT
6316 24th ave nw,Ballard,16 UNIT APT
703 30th ave,Outside Villages,MIX-USE BLDG & TRIPLEX
13426 greenwood ave n,Outside Villages,SUNRISE AT THE LAKE
2031 nw 59th st,Ballard,"59TH ST BUILDING, THE CONDOMINIUM"
209 w olympic pl,Outside Villages,OLYMPIC ARMS & GRAYSON
5216 ballard ave nw,Ballard,HOTEL BALLARD
500 mercer st,Uptown,LUMEN CONDOMINIUM
3036 16th ave w,Outside Villages,Barrett Park Apartments Economic unit w/minors -29
3023 14th ave w,Outside Villages,Cresswell Condominium
3901 15th ave s,Outside Villages,VIENNA APTS
4329 15th ave s,Outside Villages,ALLISON APARTMENTS
3419 wallingford ave n,Outside Villages,CAMEO APARTMENTS
919 2nd ave w,Outside Villages,HADLEY HOUSE COOP APTS
600 w crockett st,Outside Villages,MIX USE
9750 greenwood ave n,Outside Villages,GREENWOOD PLAZA CONDOMINIUM
9512 interlake ave n,Aurora-Licton Springs,CAROLYN COURT APTS
4484 martin luther king jr way s,Columbia City,Seattle Housing Auth. Rainier vista
120 1st ave w,Uptown,CARRARA II CONDOMINIUM
1000 minor ave,First Hill,Coppins Well
6900 37th ave s,Othello,Park Place
8320 rainier ave s,Rainier Beach,Apt & Retail
411 n 90th st,Greenwood-Phinney Ridge,WATERFORD NORTH CONDOMINIUM
1700 taylor ave n,Outside Villages,TAYLOR TOWERS
219 queen anne ave n,Uptown,QUEEN VILLA
500 john st,Uptown,Aperture on Fifth
2830 nw 56th st,Ballard,2830 NORTHWEST CONDOMINIUM
7850 e green lake dr n,Outside Villages,GREEN LAKE VISTA CONDOMINIUM
773 n 74th st,Outside Villages,GREENLAKE VISTA
842 davis pl s,23rd & Union-Jackson,DAVIS PLACE
1019 terry ave,First Hill,JOHN ALDEN APTS
501 3rd ave,Pioneer Square,501 THIRD AVENUE MORRISON HOTEL
3266 sw avalon way,West Seattle Junction,MICRO APARTMENTS - FOOTPRINT AVALON I
4800 fremont ave n,Outside Villages,HAWTHORNE SQUARE CONDOMINIUM
5033 37th ave s,Columbia City,LILAC LODGE
2602 4th ave,Belltown,STONECLIFF APTS
10065 wallingford ave n,Outside Villages,BELVEDERE COURT CONDOMINIUM
2621 2nd ave,Belltown,HARBOUR HEIGHTS CONDOMINIUM
940 n 98th st,Aurora-Licton Springs,MICHELE APTS
910 marion st,First Hill,CHANCERY PLACE APTS
411 11th ave,12th Avenue,Hillside 411 Apts
312 11th ave,12th Avenue,Terrace Apts
7325 rainier ave s,Outside Villages,THE FONTANELLE
4050 sw admiral way,Admiral,14 UNIT APT
3200 s edmunds st,Columbia City,APTS
412 11th ave,12th Avenue,EPIC CONDOMINIUM
6520 35th ave sw,Outside Villages,Alder Crest Apts.
6501 shaffer ave s,Othello,Holly Park Redevelopment
7908 rainier ave s,Outside Villages,ANDERSON APTS
1757 20th ave s,North Rainier,APTS
1300 14th ave s,Outside Villages,CHARLEMAGNE APTS
3701 s hudson st,Columbia City,Greenhouse Apartments
3221 sw avalon way,West Seattle Junction,LUNA COURT CONDOMINIUM
1005 harbor ave sw,Outside Villages,POINT NAUTICA CONDOMINIUM
1234 s king st,Chinatown-International District,VICTORIAN ROW
403 terry ave,First Hill,TERRY TERRACE
1106 cherry st,First Hill,SWEDISH MEDICAL CENTER APARTMENTS
526 lakeside ave s,Outside Villages,LAKESIDE COURT
2125 california ave sw,Admiral,ADMIRAL COURT CONDOMINIUM
9000 20th ave sw,Westwood-Highland Park,MONTRIDGE ARMS
1723 13th ave s,North Beacon Hill,SOUND VIEW POINTE CONDOMINIUM
2414 13th ave s,North Beacon Hill,YOUNGS APARTMENT
7001 rainier ave s,Outside Villages,Myrtlewood Apts
1000 8th ave,First Hill,One Thousand 8th Avenue Apartments (formerly Nettl
4812 s director st,Rainier Beach,South Shore Apts
165 14th ave,12th Avenue,NORMAN MITCHELL MANOR APTS
121 lakeside ave,Outside Villages,LAKESIDE AT LESCHI RESIDENTIAL CONDOMINIUM
4601 s graham st,Outside Villages,GRAHAM ST APTS
2418 alki ave sw,Outside Villages,APTS
703 8th ave,First Hill,BISHOP LEWIS HOUSE
800 hiawatha pl s,23rd & Union-Jackson,"JACKSON PLACE COHOUSING, A CONDOMINIUM"
303 10th ave,12th Avenue,Aldercrest Apartments
,Othello,"1 SFR, 1 duplex, Three 4-PLEXES"
9134 45th ave sw,Outside Villages,ALPINE APTS
8630 delridge way sw,Westwood-Highland Park,12-UNIT APARTMENT
515 22nd ave,23rd & Union-Jackson,APT
501 23rd ave s,23rd & Union-Jackson,KINGS VIEW TOWNHOMES CONDOMINIUM
,Othello,Holly Park Redevelopment
3021 sw bradford st,Outside Villages,CITY VIEW APTS
2122 e jefferson st,23rd & Union-Jackson,ELENA (0005) CONDOMINIUM
106 22nd ave,23rd & Union-Jackson,BETHUNE MANOR
150 20th ave,23rd & Union-Jackson,Imani Village Low Income Apartments
4222 s othello st,Othello,10 UNIT APT
6664 corson ave s,Outside Villages,STEVENSON HOUSE APT
5111 s dawson st,Outside Villages,11-UNIT APT
7701 delridge way sw,Outside Villages,West Ridge
1515 s atlantic st,Outside Villages,CHERRY LANE TOWNHOMES CONDOMINIUM
120 14th ave,23rd & Union-Jackson,MAISON JISELLE CONDOMINIUM
1410 s columbian way,Outside Villages,THE COLUMBIAN APTS
,North Rainier,ARTSPACE MT BAKER LOFTS
2115 california ave sw,Admiral,PARK ADMIRAL CONDOMINIUM
,Outside Villages,Vivian McLean Place & Delridge Library
6014 sw stevens st,Outside Villages,16 UNIT APARTMENT
1212 sw holden st,Outside Villages,HOLDEN VISTA
5953 high point dr sw,Outside Villages,
4004 beach dr sw,Outside Villages,SEAWEST CONDOMINIUM
2215 california ave sw,Admiral,SANTA CRUZ APTS 10 UNITS
1564 alki ave sw,Outside Villages,ALKI CONDOMINIUM
316 1st ave s,Pioneer Square,SEATTLE QUILT BUILDING
4457 44th ave sw,West Seattle Junction,MARINE VISTA CONDOMINIUM
1000 1st ave,Commercial Core,HOTEL 1000
9020 18th ave sw,Westwood-Highland Park,WEST WOOD APARTMENTS
6701 croft pl sw,Outside Villages,21 Townhouse Apts
6420 california ave sw,Morgan Junction,CAL-MORE CIRCLE APTS
931 sw holden st,Outside Villages,HOLDEN COURT
5200 fauntleroy way sw,Outside Villages,13 UNIT APT BLDG
9220 2nd ave sw,Outside Villages,ARROWHEAD GARDENS - South
1526 alki ave sw,Outside Villages,BAYSHORE WEST CONDOMINIUM
5020 california ave sw,West Seattle Junction,"The Blake Apartments (econ unit 762470-0095, -0100"
1507 western ave,Commercial Core,FIX BUILDING THE CONDOMINIUM
5025 california ave sw,West Seattle Junction,GRANADA CONDOMINIUM
4403 sw admiral way,Admiral,NELSONIAN APT
1520 california ave sw,Outside Villages,THE ADMIRALTY HOUSE
7060 lincoln park way sw,Outside Villages,HALCYON APTS
116 stewart st,Belltown,PLYM0UTH ON STEWART APTS
9014 45th ave sw,Outside Villages,THE RIVIERA
3401 37th ave sw,Outside Villages,SKYLARK APTS
4557 45th ave sw,West Seattle Junction,OUTLOOK WEST CONDOMINIUM
1501 california ave sw,Outside Villages,PARK HAMILTON
4527 45th ave sw,West Seattle Junction,SOUNDVIEW RIDGE CONDOMINIUM
3225 benton pl sw,Outside Villages,APTS
1301 harbor ave sw,Outside Villages,SEA-BIRD CONDOMINIUM
3120 sw genesee st,West Seattle Junction,WESTMONT CONDOMINIUM
7701 13th ave sw,Outside Villages,HOLDEN TERRACE
2250 bonair pl sw,Outside Villages,APARTMENT
10203 47th ave sw,Outside Villages,WEST BEACH CONDOMINIUM
2015 w dravus st,Outside Villages,"Tempo Apts -2305, -2310, -2300"
4345 32nd ave w,Outside Villages,18 - UNIT APT
4300 35th ave w,Outside Villages,10 UNIT APT
613 4th ave w,Uptown,QUEEN ANNE COURT CONDOMINIUM
10549 stone ave n,Aurora-Licton Springs,Medallion Condominium
155 aloha st,Outside Villages,ALOHA ST APTS
1208 10th ave w,Outside Villages,LOMITA VISTA APTS
7002 24th ave nw,Outside Villages,16 UNIT APT
4422 bagley ave n,Wallingford,BAGLEY LOFTS CONDOMINIUM
1532 nw 56th st,Ballard,BALLARD CONDOMINIUM (1532 NW 56TH ST #CU)
2316 44th ave sw,Admiral,SUNSET VIEW WEST SEATTLE CONDOMINIUM
9710 greenwood ave n,Outside Villages,MARIA CHALET CONDOMINIUM
5630 california ave sw,Outside Villages,LORRAINE APTS
523 pine st,Commercial Core,SIXTH AND PINE BUILDING
2100 3rd ave,Belltown,ROYAL CREST CONDOMINIUM
115 warren ave n,Uptown,Bernard Apartments
503 1st ave w,Uptown,GREX APTS
3119 w commodore way,Outside Villages,COMMODORE APTS (Also see Minor 0650)
930 n 104th st,Aurora-Licton Springs,NORTH PARK APTS
2418 nw 57th st,Ballard,PACIFIC APTS
13731 linden ave n,Bitter Lake Village,Amesbury Court Apts
626 4th ave w,Uptown,ANDIAMO CONDOMINIUM
358 nw 85th st,Greenwood-Phinney Ridge,85TH COURT
7526 24th ave nw,Outside Villages,BOSTAD
215 boston st,Outside Villages,BOSTON CREST APTS
2213 8th ave,Denny Triangle,COLLEGE DORMS CORNISH COLLEGE (OLD Travelodge)
12250 greenwood ave n,Outside Villages,44 UNIT APT/RETAIL
5501 32nd ave nw,Outside Villages,12 UNIT APT
920 n 100th st,Aurora-Licton Springs,ZANTE APTS
10311 fremont ave n,Outside Villages,12 UNIT APT
2432 nw 57th st,Ballard,THE LOFTS APTS
2475 dexter ave n,Outside Villages,HALLADAY COURT APTS
519 w roy st,Uptown,SEAVIEW CONDOMINIUM
5814 22nd ave nw,Ballard,LAUREN MAY APARTMENTS-33 UNITS
110 w olympic pl,Outside Villages,OLYMPIC WEST APTS
8737 greenwood ave n,Greenwood-Phinney Ridge,APARTMENTS
12748 greenwood ave n,Outside Villages,WALLACE MANOR
625 n 130th st,Bitter Lake Village,ARBOR HEIGHTS APARTMENTS
2572 14th ave w,Outside Villages,QUEEN ANNE THE CONDOMINIUM
3505 w government way,Outside Villages,DISCOVERY PARK CONDOMINIUM
924 w emerson st,Outside Villages,EMERSON VISTA CONDOMINIUM
,Outside Villages,BAYWATCH AT MAGNOLIA CONDOMINIUM
10306 holman rd nw,Outside Villages,HAMPTON COURT
5803 24th ave nw,Ballard,DANIELLE
1515 nw 53rd st,Ballard,APARTMENTS
800 n allen pl,Outside Villages,ALLEN PLACE CONDOMINIUM
101 n 46th st,Outside Villages,SUNDOWNER APTS - 27 UNITS
4020 aurora ave n,Wallingford,COBRIZO CONDOMINIUM
101 taylor ave n,Uptown,The Century- Mixed-Use Building
10737 greenwood ave n,Outside Villages,WESTWARD WATCH
11200 greenwood ave n,Outside Villages,TURTLEWALK GREEN NORTH
620 n 85th st,Greenwood-Phinney Ridge,DENICE HUNT TOWNHOMES CONDOMINIUM
2717 dexter ave n,Outside Villages,QUEEN ANNE HEALTHCARE
916 queen anne ave n,Outside Villages,LEONA CONDOMINIUM
116 fairview ave n,South Lake Union,MIRABELLA RETIREMENT COMMUNITY
3931 whitman ave n,Fremont,DANNYWOOD APTS
1701 n 48th st,Wallingford,APARTMENTS
2108 n pacific st,Outside Villages,PACIFIC POINTE APTS/OFFICE
3028 western ave,Belltown,ALEXANDRIA CONDOMINIUM
2512 1st ave,Belltown,VINECOURT APTS
2905 1st ave,Belltown,BREMER APARTMENTS
2008 westlake ave,Denny Triangle,WEST LAKE HOTEL (low income housing)
1007 stewart st,Denny Triangle,WILLIAMSBURG APTS
840 w nickerson st,Outside Villages,MARINE VISTA
1747 nw 62nd st,Ballard,10 UNIT APT BLDG
319 w olympic pl,Outside Villages,11 UNIT APT
5433 leary ave nw,Ballard,BALLARD LANDMARK
3817 evanston ave n,Fremont,FALEN APTS
5301 phinney ave n,Outside Villages,NORSE HOME
3309 w government way,Outside Villages,CHINOOK APTS 13 UNITS
1108 9th ave w,Outside Villages,13 UNIT APT BLDG
2400 w lynn st,Outside Villages,MAGNOLIA TERRACE APTS
2714 high point dr sw,Outside Villages,High Point
3705 california ave sw,Outside Villages,MIXED USE
411 n 63rd st,Outside Villages,APARTMENTS
612 prospect st,Uptown,REGENCY APARTMENTS CONDOMINIUM
2034 14th ave w,Outside Villages,ELLIOTT VISTA CONDOMINIUM
62 cedar st,Belltown,Joseph Arnold Lofts - Associated Parcel is Minor 0
2321 4th ave,Belltown,FLEMING APTS
2911 1st ave,Belltown,JOHN CARNEY APTS
522 n 85th st,Greenwood-Phinney Ridge,Guinevere
1100 5th ave n,Outside Villages,17 UNIT APARTMENT
10345 meridian ave n,Northgate,MERIDIAN MANOR
1421 2nd ave n,Outside Villages,11 UNIT APARTMENT
699 john st,Uptown,MARSELLE CONDOMINIUM
420 pontius ave n,South Lake Union,Stack House Apartments
655 crockett st,Outside Villages,PORTAL OVER LAKE UNION CONDOMINIUM
766 belmont ave e,Capitol Hill,PARKROSE TERRACE
1029 summit ave e,Outside Villages,HACIENDA
1422 boylston ave e,Pike/Pine,MILLER APTS
303 16th ave e,Capitol Hill,KENTON APTS
2134 waverly pl n,Outside Villages,OUTLOOK CONDOMINIUM
425 vine st,Belltown,MONTREUX CONDOMINIUM
201 galer st,Outside Villages,QUEEN ANNE HIGH SCHOOL
1009 ne 56th st,Outside Villages,east building devp.
12545 roosevelt way ne,Outside Villages,3 Apartment Bldgs w/ 13 units
1810 boylston ave,Capitol Hill,CAPITOL RIDGE APTS
3401 ne 65th st,Outside Villages,CRESTVUE APTS
1718 summit ave,Capitol Hill,APT
951 n 42nd st,Wallingford,42ND STREET APTS
12034 15th ave ne,Outside Villages,SEDONA COURT CONDOMINIUM
120 nw 39th st,Fremont,AZUL FLATS IN FREMONT CONDOMINIUM
3424 meridian ave n,Outside Villages,MERIDIAN PARK
524 highland dr,Outside Villages,CLIF WOOD APT
200 mercer st,Uptown,QUEEN ANNE SQUARE CONDOMINIUM
6015 24th ave nw,Ballard,21 UNIT APT
4203 evanston ave n,Outside Villages,APARTMENT
401 broadway,Capitol Hill,BROADWAY MARKET (lower retail only on this minor)
710 crockett st,Outside Villages,13 UNIT APT
1763 nw 60th st,Ballard,APT (9 UNITS) & RES
1708 melrose ave e,Capitol Hill,MELROSE THE CONDOMINIUM
9700 5th ave ne,Northgate,NORTH MANOR
128 10th ave e,Capitol Hill,HOLIDAY APT
212 harvard ave e,Capitol Hill,APT
1100 pike st,Pike/Pine,Villa Apts
12316 28th ave ne,Lake City,THE WILLOWS COURT APTS
1802 12th ave,Capitol Hill,13-UNIT APT
1615 15th ave,Pike/Pine,BANCROFT APTS
2225 eastlake ave e,Eastlake,EASTLAKE GARDEN CT TOWNHOMES CONDOMINIUM
2020 ne 89th st,Outside Villages,THE HENRY APTS
26 harrison st,Uptown,DELMASSO APTS
1170 harrison st,South Lake Union,LAKEVIEW APARTMENTS
1120 ne 43rd st,University District Northwest,APARTMENT
4123 12th ave ne,University District Northwest,Apartment
4115 roosevelt way ne,University District Northwest,"Mixed Use, Retail and 88 Apartments"
10800 roosevelt way ne,Northgate,CARIBBEAN MANOR APT'S
505 14th ave e,Capitol Hill,PARKHURST APTS
615 e pike st,Pike/Pine,615 EAST PIKE ST CONDOMINIUM
2500 n 45th st,Wallingford,MARION PLAZA
1140 18th ave e,Outside Villages,35 UNIT APT
8714 35th ave ne,Outside Villages,RIVIERA EAST
3101 ne 145th st,Outside Villages,"SHERWOOD APTS - BLDGS B, C, D, & E"
1114 17th ave,Outside Villages,FLEUR DE LIS CONDOMINIUM
8401 5th ave ne,Outside Villages,CRYSTAL COURT APTS & RETAIL
741 federal ave e,Capitol Hill,APARTMENT
80 e roanoke st,Eastlake,MALLARD COVE TOWNHOMES
1515 e union st,Outside Villages,1515 EAST UNION CONDOMINIUM
5515 15th ave ne,University District Northwest,OUTRIGGER APTS
1520 15th ave e,Outside Villages,PARKE GRANDVIEW CONDOMINIUM
531 bellevue ave e,Capitol Hill,MARWOOD APTS
424 summit ave e,Capitol Hill,THE FOUR-TWO-FOUR APT
430 e howell st,Capitol Hill,OLIVE TERRACE APTS
2356 yale ave e,Eastlake,10 UNIT APT BLDG
303 w olympic pl,Outside Villages,LOS ALTOS & SAXONIA APTS
4225 11th ave ne,University District Northwest,CARLSTROM APARTMENTS
1819 e denny way,Madison-Miller,FORTUNE VIEW CONDOMINIUM
3015 ne 143rd st,Outside Villages,WINDINBROOK APTS (BLDG #2)
5000 22nd ave ne,Ravenna,VILLAGE VISTA APTS
5112 ravenna ave ne,Ravenna,14 UNIT APT
2021 e john st,Madison-Miller,HAZEL PLAZA #1
6500 35th ave ne,Outside Villages,APARTMENTS
4540 8th ave ne,University District Northwest,UNIVERSITY PLAZA CONDOMINIUM
514 e roy st,Capitol Hill,10-UNIT APT
66 bell st,Belltown,BELLTOWN LOFTS CONDOMINIUM
200 w highland dr,Upper Queen Anne,200  W Highland
23 valley st,Outside Villages,VALI LOA
4730 university way ne,University District Northwest,Lothlorien Apartments
5001 ravenna ave ne,Ravenna,RAVENVIEW APT 23 UNITS
6522 4th ave ne,Green Lake,CHESAPEAKE APT
4750 university way ne,University District Northwest,UNIVERSITY WAY APTS
3915 2nd ave ne,Outside Villages,PACIFIC NORTH APTS
2211 ne 54th st,Ravenna,RAVENNA HOUSE CONDOMINIUM
2215 eastlake ave e,Eastlake,EASTLAKE INN
2300 fairview ave n,Eastlake,10 UNIT APT & GROC STORE
2354 yale ave e,Eastlake,YALE COURT CONDOMINIUM
400 melrose ave e,Capitol Hill,SAHALI CONDOMINIUM
1809 15th ave,Capitol Hill,APT
718 e aloha st,Outside Villages,MERRILL COURT CONDOMINIUM
102 21st ave e,Madison-Miller,HALFWAY HOUSE
8701 35th ave ne,Outside Villages,LETITIA APT'S
2001 eastlake ave e,Eastlake,CLARE ANN APT
1717 bellevue ave e,Capitol Hill,Bellevue Place Apts
1431 minor ave,Pike/Pine,BOARDING HOME & STREET LEVEL RETAILS
4733 17th ave ne,University District Northwest,TAMARAC APTS
321 e thomas st,Capitol Hill,Veduta Condominium
1819 bellevue ave,Capitol Hill,BEL-VISTA APTS
1816 bellevue ave,Capitol Hill,APARTMENT
1411 boylston ave e,Pike/Pine,17 UNIT APT
2031 franklin ave e,Eastlake,17 UNIT APT
1617 19th ave,Madison-Miller,Views@Madison
1711 summit ave,Capitol Hill,Summit View
12317 15th ave ne,Outside Villages,SAN MARINO APT & OFFICE
12007 15th ave ne,Outside Villages,PINEHURST WEST APARTMENTS
1626 13th ave,Pike/Pine,Bristol Apartments
1305 e howell st,Capitol Hill,WASHINGTON IRVING APTS
1100 e union st,Pike/Pine,UNION ART COOPERATIVE
131 bellevue ave e,Capitol Hill,CORNICHE THE CONDOMINIUM
12341 35th ave ne,Lake City,SPRING CREEK CONDOMINIUM
2015 ne 89th st,Outside Villages,TWENTY 15 APARTMENT
14019 32nd ave ne,Outside Villages,PARKWAY APTS
1454 e harrison st,Capitol Hill,24 UNIT APT
311 e republican st,Capitol Hill,HIGHMARK THE
1210 e john st,Capitol Hill,Price Manor
1111 e union st,Pike/Pine,Viva
3925 ne 45th st,Outside Villages,LAURELHURST APTS
316 e harrison st,Capitol Hill,Apartment building
320 summit ave e,Capitol Hill,CARLYLE APTS
521 16th ave e,Capitol Hill,SIENA ON CAPITAL HILL CONDOMINIUM
1620 14th ave,Pike/Pine,DEL MARCO BLDG
4115 brooklyn ave ne,University District Northwest,TYEE APARTMENTS
12556 15th ave ne,Outside Villages,WHITE HEATHER APT BLDG
421 summit ave e,Capitol Hill,LOMBARDY COURT APTS
605 e denny way,Capitol Hill,WINCHESTER APT
623 federal ave e,Capitol Hill,THE FEDROY APTS
3716 ne 75th st,Outside Villages,WEDGWOOD ESTATES
333 summit ave e,Capitol Hill,BRIARWOOD
527 summit ave e,Capitol Hill,APARTMENT
425 10th ave e,Capitol Hill,Broadway Court
2211 ne 50th st,Ravenna,APTS
12319 32nd ave ne,Lake City,MAYFIELD APTS - 10 UNITS
1414 e seneca st,First Hill,MAXMILLIAN APTS
11540 pinehurst way ne,Outside Villages,RIVIERA NORTHGATE APTS
1101 10th ave e,Outside Villages,APARTMENT
75 e lynn st,Eastlake,MAISON D'OR CONDOMINIUM
119 19th ave e,Madison-Miller,Garden Court Apartments
1802 20th ave,Madison-Miller,8-UNIT APT BLDG
5217 university way ne,University District Northwest,THE PACIFIC APARTMENT
5611 university way ne,Outside Villages,PARK MODERN
502 e harrison st,Capitol Hill,APTS & DUPLEX
433 belmont ave e,Capitol Hill,CORONA APARTMENTS
409 10th ave e,Capitol Hill,AUSTIN APTS
433 13th ave e,Capitol Hill,DAPHNE APTS
4137 university way ne,University District Northwest,BUCKLIN BUILDING
5600 university way ne,Outside Villages,WHITE HOUSE APARTMENTS
1907 e john st,Madison-Miller,PENN HALL APTS
703 bellevue ave e,Capitol Hill,BELROY APTS
5233 15th ave ne,University District Northwest,WALMOR APTS - 24 UNITS
5200 university way ne,University District Northwest,17 APT UNITS-OFC-STORE
4737 brooklyn ave ne,University District Northwest,FREDERICK APTS
1317 boren ave,First Hill,SOVREIGN APARTMENTS
1320 14th ave s,Outside Villages,GARDEN APARTMENTS
2152 n 112th st,Northgate,VICTORIAN THE CONDOMINIUM
5620 university way ne,Outside Villages,University Way Apts
5017 15th ave ne,University District Northwest,MONDRIAN APTS - 24 UNITS
5101 ne 55th st,Outside Villages,WINDERMERE VISTA CONDOMINIUM
912 dexter ave n,South Lake Union,Neptune Apartments
4522 brooklyn ave ne,University District Northwest,WARREN JONES APTS & RESTAURANT
6314 42nd ave sw,Morgan Junction,LANCER APARTMENTS
2339 franklin ave e,Eastlake,ADMIRAL APTS
610 wheeler st,Outside Villages,MATADOR THE CONDOMINIUM
220 16th ave e,Capitol Hill,WESTLAND APTS
905 cherry st,First Hill,NINE CHERRY SQUARE
9023 mary ave nw,Crown Hill,SOUND VIEW WEST CONDOMINIUM
1707 bellevue ave,Capitol Hill,BEL-FIORE APARTMENTS
1631 belmont ave,Pike/Pine,CONRAD APT
1518 ne 117th st,Outside Villages,12 UNIT APT
,Outside Villages,
215 valley st,Outside Villages,VALLEY TERRACE APTS
3030 14th ave w,Outside Villages,DESIREE THE CONDOMINIUM
2840 eastlake ave e,Eastlake,CORONADO APT
3700 rainier ave s,North Rainier,Rainier Court (Bldg on 787940-0030)
2501 e madison st,Outside Villages,MADISON GATE PH 01 CONDOMINIUM
210 3rd ave s,Pioneer Square,LOFTS THE CONDOMINIUM
1924 1st ave,Belltown,Office BUILDING W/RETAIL ON 1ST FLOOR
720 seneca st,First Hill,EXETER HOUSE
1915 2nd ave,Belltown,Viktoria Apartments
1521 nw 51st st,Ballard,APT
11224 meridian ave n,Northgate,PARK MERIDIAN
129 11th ave e,Capitol Hill,Casa Verde
1600 e madison st,Capitol Hill,Madison Crossing Apartments
1626 boren ave,Denny Triangle,OLIVE TOWER APTS
415 boren ave,First Hill,THE MONTICELLO APTS
12051 28th ave ne,Lake City,SEATTLE NORTH APTS
1633 14th ave,Pike/Pine,ONEILL Apt
817 ne 64th st,Roosevelt,817 Studios
2364 fairview ave e,Eastlake,LAKEWIND CONDOMINIUM
1545 nw market st,Ballard,"Leva on Market Apts -1230,-1335,-1321,-1320,-1315,"
2615 e cherry st,23rd & Union-Jackson,HARVEY APTS
1601 e columbia st,Outside Villages,COLUMBIA THE CONDOMINIUM
716 boylston ave e,Capitol Hill,HARVARD ESTATES THE
300 3rd ave w,Uptown,Avalon Bay Apartments
600 w mcgraw st,Outside Villages,RETAIL & APT
705 n 50th st,Outside Villages,WOODLAND COURT APARTMENTS
11527 28th ave ne,Outside Villages,JANE ADAMS APARTMENTS
,Othello,"6-PLEX, 4-PLEX, & 2 SFR"
605 10th ave e,Capitol Hill,Jennifer Ann Apts
520 boylston ave e,Capitol Hill,BROADWAY PARK APTS
627 e roy st,Capitol Hill,ROYHILL APTS
615 e mercer st,Capitol Hill,APT
4110 12th ave ne,University District Northwest,DEL CAPRI APARTMENTS
3908 s kenyon st,Othello,"SAMAKI COMMONS - ECONOMIC UNIT WITH MINORS #0100,"
2341 ne 55th st,Ravenna,ROBERTSON APT
1206 summit ave,First Hill,ST PAUL APT
7920 wallingford ave n,Outside Villages,DUTLECH ARMS APTS
201 aloha st,Outside Villages,WILOMA APARTMENTS
302 n 39th st,Fremont,14 UNIT APT
10711 meridian ave n,Northgate,MERIDIAN PLACE APTS (Bldg B)
1427 s henderson st,Greater Duwamish,HENDERSON APTS
9468 rainier ave s,Rainier Beach,SPINNAKER BAY CONDOMINIUM
1105 5th ave n,Outside Villages,TUDOR APTS
2550 thorndyke ave w,Outside Villages,HOLLY TERRACE CONDOMINIUM
2562 thorndyke ave w,Outside Villages,MAGNOLIA VIEW CONDOMINIUM
951 n 45th st,Wallingford,CHEZ-MONI
124 warren ave n,Uptown,QUEEN'S COURT CONDOMINIUM
2122 8th ave n,Outside Villages,MARTINIQUE APT
5818 15th ave s,Outside Villages,APARTMENTS
4250 34th ave w,Outside Villages,THE MAGNOLIA
1702 11th ave s,North Beacon Hill,Beacon View Apartment
607 maynard ave s,Chinatown-International District,INTERNATIONAL HOUSE
306 6th ave s,Chinatown-International District,N P HOTEL & MANEKI RESTAURANT
,Othello,"OTHELLO BUILDING, THE"
4501 midvale ave n,Wallingford,MIDVALE MANOR APT
1525 taylor ave n,Outside Villages,TAYLOR
1302 e yesler way,12th Avenue,RITZ APTS
1823 terry ave,Denny Triangle,Aspira - Apartments
3023 1st ave,Belltown,VERSAILLES APARTMENTS
617 3rd ave w,Uptown,MERCEDES APTS
620 5th ave w,Uptown,PARKWING APTS
900 queen anne ave n,Outside Villages,Queen Anne Apartments
715 2nd ave w,Uptown,VIKING APT
1407 2nd ave w,Upper Queen Anne,WEST TOWN VIEW APTS
6404 24th ave nw,Ballard,BALLARD LOFTS PHASE 1 & 2
1800 s jackson st,23rd & Union-Jackson,Legacy at Pratt Park
901 montana cir w,Outside Villages,Fort Lawton Housing
341 16th ave,Outside Villages,BUNGALOW COURT CONDOMINIUM
2720 14th ave s,North Beacon Hill,KENMARK S
