address,neighborhood,building_name
2522 14th ave s,North Beacon Hill,EL CENTRO DE LA RAZA
99 union st,Commercial Core,99 UNION STREET PRIVATE RESIDENCES
410 4th ave,Commercial Core,WORK RELEASE FACILITY-Hotel Reynolds
5014 39th ave s,Columbia City,Coral Reef Apts (part)
2801 e yesler way,Outside Villages,APARTMENT BLDG 16 UNITS
110 14th ave,23rd & Union-Jackson,KUNIYUKI HOME FOR ELDERLY
555 s cloverdale st,South Park,APARTMENT
8600 25th ave sw,Westwood-Highland Park,Westwood Park Villa
80 stewart st,Commercial Core,STUART HOUSE CONDOMINIUM
1537 12th ave s,Outside Villages,SUN LIGHT APT
3212 beacon ave s,Outside Villages,APARTMENT
5220 42nd ave s,Columbia City,BELLA LUNA CONDOMINIUM
4423 s brandon st,Columbia City,BRANDON COURT APT
1115 s atlantic st,Outside Villages,BELLA VISTA
719 2nd ave,Commercial Core,MILLENNIUM TOWER CONDOMINIUM
2810 e yesler way,Outside Villages,LESCHI VIEW Apts
2014 e yesler way,23rd & Union-Jackson,Clairemont Apt Homes
7401 rainier ave s,Outside Villages,PARKWAY HOUSE
5314 martin luther king jr way s,Outside Villages,16 UNIT APT BLDG
3014 sw genesee st,West Seattle Junction,EDGEWOOD APT
,West Seattle Junction,West Seattle Junction -West Building
6188 4th ave s,Greater Duwamish,Martin Court Apts
748 s cloverdale st,South Park,HANES HOUSE CONDOMINIUM
903 9th ave,First Hill,WESTMINSTER APARTMENTS
4715 sw charlestown st,Outside Villages,APT 14 - UNIT
6601 rainier ave s,Outside Villages,THE ARCHES APTS
9144 45th ave sw,Outside Villages,CHALET APTS
5619 rainier ave s,Outside Villages,Hillman City Collaboratory
657 s weller st,Chinatown-International District,NEW CENTRAL HOTEL CONDOMINIUM
2348 alki ave sw,Outside Villages,ALKI APTS
5220 california ave sw,Outside Villages,LA RAE APT & CLINIC
3210 sw avalon way,West Seattle Junction,SKYLINE CONDOMINIUM
3230 sw avalon way,West Seattle Junction,TERRACE VILLA
6511 35th ave sw,Outside Villages,10 UNIT APARTMENT
4203 sw hill st,Outside Villages,WEST HILL APTS
4800 fauntleroy way sw,West Seattle Junction,FAUNTLEROY TERRACE CONDOMINIUM
6901 delridge way sw,Outside Villages,Willow Court Apartments
4831 35th ave sw,Outside Villages,PROVIDENCE MT ST VINCENT
6539 42nd ave sw,Morgan Junction,APT
2452 alki ave sw,Outside Villages,APTS
1238 alki ave sw,Outside Villages,1238 ALKI CONDOMINIUM
3000 60th ave sw,Outside Villages,ALKI PLACE APTS
,Outside Villages,
2600 alki ave sw,Outside Villages,22 UNIT APT HOUSE
7915 35th ave sw,Outside Villages,VUE CREST APTS
4502 42nd ave sw,West Seattle Junction,"OREGON 42 (econ. unit w/-6520, -6530, -6540)"
104 pine st,Commercial Core,Atwood
3601 beach dr sw,Outside Villages,11 UNIT APT & RES
2820 62nd ave sw,Outside Villages,12 UNIT APT
2021 nw 58th st,Ballard,BELCOURT APARTMENTS
